good morning,早上好；早晨
collar button,n.,领扣
collate,v.,核对；校对
collateral,adj.,附属的；并行的
collateral,n.,抵押品
collation,n.,校对；整理
collect maps and data,收集地图和数据 
collect money,筹款；收款 
collecting,n.,收集；收藏
collection tank,n.,收集罐
collectively,adv.,集体地；共同地
collector,n.,收藏家；收税员
college journal,n.,学院期刊
college of humanities,n.,人文学院
college of liberal arts,n.,文学院
collocate,v.,（使）搭配
collocation,n.,（词语的）搭配
colloquial,adj.,口语的；通俗的
colon,n.,冒号；结肠
colonise,v.,将…开拓为殖民地；定居
colonist,n.,殖民者；殖民地居民
color-coded,adj.,按颜色编码的
colorful,adj.,色彩鲜艳的；生动的
colour TV,n.,彩色电视
colour photos,n.,彩色照片
coloured,adj.,有色的；着色的
coloured,n.,有色人种
colourfast,adj.,不褪色的
colours,n.,颜色（复数）；旗帜
comb,n.,梳子；鸡冠
comb,v.,梳理；仔细搜寻
combatant,n.,战斗人员；斗士
combatant,adj.,战斗的
combination lock,n.,密码锁
combined issue,合刊 
combo,n.,组合；套餐
combust,v.,（使）燃烧
combustibility,n.,可燃性
combustible,adj.,易燃的
combustible,n.,可燃物
combustion,n.,燃烧
come down to,归结为 
come into force,生效 
come into play,开始起作用 
come to an end,结束 
come to life,活跃起来；苏醒 
come to light,真相大白；为人所知 
come to the fore,崭露头角 
come up,走近；出现；被提及 
come up with,想出；提出 
comedy show,n.,喜剧表演
comet,n.,彗星
comfortable clothes,舒适的衣服 
comic books,漫画书 
comic performance,滑稽表演 
comics,n.,连环漫画
commanding,adj.,指挥的；威严的
commemorate,v.,纪念；庆祝
commemoration,n.,纪念；纪念活动
commence,v.,开始
comment card,n.,意见卡
commentate,v.,评论；作实况报道
commentator,n.,评论员；解说员
commercial advertisement,n.,商业广告
commercial campground,n.,商业露营地
commercial center,n.,商业中心
commercial channel,n.,商业渠道
commercial farm,n.,商品农场
commercial port,n.,商港
commercial programme,n.,商业节目
commercial science,n.,商学
commercialize,v.,使商业化
commercially,adv.,商业上
commiserate,v.,同情；怜悯
commissioner,n.,专员；委员；长官
commit a crime,犯罪 
committed,adj.,尽心尽力的；坚定的
common room,n.,公共休息室
common sense,n.,常识
commoner,n.,平民
commonplace knowledge,n.,常识
commonwealth,n.,联邦；联合体
commotion,n.,骚动；混乱
communal,adj.,公共的；社区的
communal tables,n.,公用大餐桌
communication,n.,交流；通讯；信息
communication skills,n.,沟通技巧
communication strategies,n.,交流策略
communication system,n.,通信系统
communism,n.,共产主义
community health,n.,社区健康
commutation,n.,交换；减刑
commuter,n.,通勤者
commuter line,n.,通勤线路
commuter train,n.,通勤列车
commuter's ticket,n.,通勤票
commuting,n.,通勤
compact edition,n.,缩印版
compactness,n.,紧凑；简洁
companionable,adj.,友善的；好交往的
comparative,adj.,比较的；相对的
comparative,n.,比较级
comparatively,adv.,比较地；相对地
compare them with other children,把他们和其他孩子比较 
compassion,n.,同情；怜悯
compassionate,adj.,有同情心的
compatibility,n.,兼容性；和睦相处
compatriot,n.,同胞
competitions,n.,比赛（复数）
compilation,n.,汇编；编辑
compiler,n.,编译器；编纂者
complacency,n.,自满；自得
complacent,adj.,自满的；自鸣得意的
complain about,抱怨 
complainant,n.,原告；投诉人
complaints,n.,投诉（复数）
complement,n.,补充物；补语
complement,v.,补充；补足
complementary,adj.,互补的
complete a course,完成一门课程 
complete works,n.,全集
completely,adv.,完全地；彻底地
complex number,复数 
complex world,复杂的世界 
compliance,n.,遵守；服从
compliant,adj.,顺从的；服从的
compliment,n.,赞美；恭维
compliment,v.,赞美；恭维
complimentary,adj.,赞美的；免费赠送的
compound statement,复合语句 
compounds,n.,化合物（复数）
comprehensible,adj.,可理解的
comprehensive abilities,综合能力 
comprehensive understanding,全面理解 
compress,v.,（被）压缩；精简
compression,n.,压缩；浓缩
compulsion,n.,强迫；难以抗拒的冲动
compulsively,adv.,强制性地；禁不住地
compulsory course,必修课 
compulsory education,n.,义务教育
compulsory exercise,n.,规定动作
computational,adj.,计算的
computer centre,n.,计算机中心
computer games,n.,电脑游戏
computer literate,adj.,懂电脑的
computer operator,n.,计算机操作员
computer programmer,n.,电脑程序员
computer science,n.,计算机科学
concede,v.,（不情愿地）承认；让步
conceivable,adj.,可想象的；可能的
concentrate on one's work,专心工作 
concentrated,adj.,集中的；浓缩的；全神贯注的
concentric,adj.,同心的
conception,n.,构想；概念；怀孕
concert hall,n.,音乐厅
concert room,n.,演奏厅
concert season ticket,n.,音乐会季票
concerto,n.,协奏曲
concerts,n.,音乐会（复数）
concession,n.,让步；特许权
conch,n.,海螺壳
concise,adj.,简洁的；简明的
concord,n.,和谐；一致
concretely,adv.,具体地
concreteness,n.,具体性
concur,v.,同意；同时发生
condensation,n.,冷凝；浓缩
condense,v.,（使）浓缩；（使）凝结
condensed milk,n.,炼乳
condiment,n.,调味品
conditional,adj.,有条件的
conditional expression,条件表达式 
conditional statement,条件语句 
conditionally,adv.,有条件地
condom,n.,避孕套
condone,v.,宽恕；原谅
conduce,v.,有助于；导致
conducive,adj.,有益的；有助于…的
conduct a survey,进行调查 
conduct their behaviors,规范他们的行为 
conductive,adj.,导电的；传导性的
cone,n.,圆锥体；（冰淇淋）蛋筒
cone,v.,使成锥形
confer,v.,商讨；授予
confer on u,授予 
conference centre,会议中心 
conference hall,会议厅 
conference pack,会议资料包 
conference room,n.,会议室
confidant,n.,知己；密友
confidentiality,n.,保密；机密性
configuration,n.,配置；布局；结构
configure,v.,配置；设定
confirmed,adj.,确认的；根深蒂固的
confluence,n.,汇合；汇集
confused,adj.,困惑的；混乱的
confusing,adj.,令人困惑的
congenial,adj.,意气相投的；适宜的
congenital,adj.,先天的；天生的
congest,v.,（使）拥挤；（使）充血
congested,adj.,拥挤的；堵塞的
congestion,n.,拥堵；堵塞
congregate,v.,聚集；集合
conical,adj.,圆锥形的
conjecture,n.,推测；猜想
conjecture,v.,推测；猜想
conjugal,adj.,婚姻的；夫妻的
connect people,连接人与人 
connections of work,工作关系 
connectivity,n.,连接性；连通性
connotation,n.,内涵；含蓄
connote,v.,暗示；意味着
conquest,n.,征服；战利品
conscientiousness,n.,认真；责任心
consciously,adv.,有意识地；故意地
consecutive,adj.,连续的；连贯的
consecutively,adv.,连续地
consequential,adj.,随之发生的；重要的
conservation,n.,保护；保存
conservationist,n.,自然环境保护主义者
conservatism,n.,保守主义
conservatory,n.,温室；音乐学院
conserve,v.,保存；保护
considerably,adv.,相当地；非常
considered,adj.,经过深思熟虑的
consignment,n.,托运；寄售
consistently,adv.,一贯地；始终如一地
consolation,n.,安慰；慰藉
consolidation,n.,巩固；合并
consonant,adj.,一致的；和谐的
consonant,n.,辅音
consortium,n.,财团；联合企业
conspicuous,adj.,显眼的；引人注目的
conspiracy,n.,阴谋；密谋
constancy,n.,坚定；持久不变
constantly,adv.,不断地；时常地
constituent,adj.,组成的；构成的
constituent,n.,成分；选民
constrain,v.,强迫；限制；约束
constrained,adj.,不自然的；受约束的
constraint,n.,限制；约束
construction material,n.,建筑材料
construction site,n.,建筑工地
construction worker,n.,建筑工人
constructor,n.,建造者；构造函数
consulate,n.,领事馆
consultation,n.,咨询；商议；会诊
consultative,adj.,咨询的
consumer credit card,n.,消费者信用卡
consumerism,n.,消费主义
consumers,n.,消费者（复数）
contact details,n.,联系方式
contact friends,联系朋友 
contact lenses,n.,隐形眼镜
contact number,联系电话 
contagious,adj.,传染性的；有感染力的
container ship,n.,集装箱船
containerization,n.,集装箱化
containers,n.,容器（复数）；集装箱（复数）
contaminant,n.,污染物
contaminated,adj.,被污染的
contemplate,v.,沉思；思忖；考虑
contentious,adj.,有争议的；好争论的
context manager,上下文管理器 
context variable,上下文变量 
contiguous,adj.,相邻的；相接的
contingency,n.,意外事件；偶然性
contingent,adj.,依情况而定的
contingent,n.,代表团；分遣队
continuation,n.,继续；延续；续篇
continuously,adv.,连续不断地
continuum,n.,连续统一体
contraction,n.,收缩；缩写
contrasting,adj.,截然不同的
contrasting view,对比观点 
contravene,v.,违反；触犯
contravene a law,违法 
contributing,adj.,起作用的；贡献的
contrive,v.,设计；设法做到
contrived,adj.,不自然的；人为的
control group,n.,对照组
control population,n.,对照人群
control tower,n.,（机场）控制塔
controlled,adj.,受控制的；克制的
controller,n.,控制器；管理者
convection,n.,对流
convenor,n.,会议召集人
converge,v.,汇合；聚集
conversely,adv.,相反地
conveyance,n.,运输；运输工具
conveyor,n.,传送带；运输者
convict,n.,已决犯；囚犯
convict,v.,宣判…有罪
conviction,n.,定罪；坚定的信念
convinced,adj.,确信的
convulse,v.,使震动；使抽搐
cookery,n.,烹饪术
cookery book,n.,烹饪书；食谱
cooking,adj.,烹饪用的
cooking,n.,烹饪；做饭
cooking class,n.,烹饪课
cooking oil u,n.,食用油
cooking school,n.,烹饪学校
coolant-lined,adj.,带冷却衬里的
cooling down,冷却；冷静下来 
cooling operation mode,n.,制冷运行模式
cooperate with each other,互相合作 
cooperation loan,n.,合作贷款
coordinator,n.,协调人
cope with,应付；处理 
copies,n.,副本（复数）；复印件（复数）
copper sulphate,n.,硫酸铜
corner ball,角球 
corner flag,n.,角旗
corner kick area,角球区 
coroutine,n.,协程
coroutine function,协程函数 
corporal,adj.,肉体的；身体的
corporal,n.,（陆军）下士
corporal punishment,n.,体罚
corporate restructuring,企业重组 
corporeal,adj.,物质的；肉体的
corpse,n.,尸体
corpus,n.,语料库；文集
correction fluid,n.,涂改液
correction pen,n.,修正笔
corrective,adj.,纠正的；矫正的
corrective,n.,矫正方法
correctly,adv.,正确地；恰当地
correlation,n.,相关；关联
correspondence school,n.,函授学校
correspondent,n.,记者；通信者
corridor,n.,走廊；过道
corroborate,v.,证实；确证
corrode,v.,（使）腐蚀；侵蚀
corrosion,n.,腐蚀；侵蚀
corrupt,adj.,腐败的；堕落的
corrupt,v.,使腐败；使堕落
corruption,n.,腐败；贪污；堕落
cortex,n.,（大脑）皮层；（植物）皮层
cortical,adj.,皮层的；皮质的
cortisol,n.,皮质醇
coruscating,v.,闪烁；闪光
cosmetics,n.,化妆品
cosmos,n.,宇宙
cosset,v.,溺爱；宠爱
cost-effective,adj.,性价比高的；划算的
costume ball,化装舞会 
cosy,adj.,舒适的；惬意的
cosy,n.,（茶壶等的）保温罩
cot,n.,简易床；婴儿床
cotton fabrics,棉织物 
cotton textiles,棉纺织品 
cough up,咳出；（不情愿地）拿出 
councillor,n.,议员
counsel,n.,建议；忠告；法律顾问
counsel,v.,建议；劝告
counseling,n.,咨询；辅导
counseling centre,咨询中心 
counselling service,咨询服务 
counsellor,n.,顾问；辅导员
counter-productive,adj.,产生反效果的；事与愿违的
counterbalance,n.,平衡力；平衡物
counterbalance,v.,使平衡；抵消
counterfeit,adj.,伪造的；假冒的
counterfeit,n.,伪造品；冒牌货
counterfeit,v.,伪造；假冒
counterfeit goods,假货 
counterproductive,adj.,产生反效果的；事与愿违的
counting house,n.,（旧时的）账房
countless,adj.,无数的
country music,n.,乡村音乐
country's economy,国家经济 
countryside,n.,乡下；郊外
countryside living,乡村生活 
county library,县图书馆 
courier,n.,快递员；信使
course code,课程代码 
course delivery,课程讲授 
course outline,课程大纲 
course requirement,课程要求 
coursework,n.,课程作业；平时作业
courteous,adj.,有礼貌的；谦恭的
courtesy,adj.,礼节性的；免费提供的
courtesy,n.,礼貌；谦恭
courtship,n.,求爱；求偶期
cove,n.,小海湾
cover girl,n.,封面女郎
cover story,n.,封面故事；幌子
coward,adj.,胆小的
coward,n.,懦夫；胆小鬼
cowardly,adj.,怯懦的；胆小的
cowpat,n.,一滩牛粪
coyote,n.,（北美）丛林狼
cozy and romantic,舒适浪漫 
cozy atmosphere,温馨的氛围 
crab,n.,螃蟹；爱抱怨的人
crab,v.,抱怨；横行
cradle,n.,摇篮；发源地
cradle,v.,轻轻抱着
craftsman,n.,工匠；手艺人
cram,v.,塞满；（为考试）死记硬背
cramming,n.,（考前）突击学习
crank,n.,曲柄；怪人
crank,v.,用曲柄转动
crater,n.,火山口；弹坑
crater,v.,形成坑；暴跌
craze,n.,狂热；风尚
craze,v.,使发狂
creativity,n.,创造力；创意
creativity and imagination,创造力和想象力 
credential,n.,资历；资格证书
credentials,n.,资历；资格证书（常用复数）
credibility,n.,可信性；信誉
credible,adj.,可信的；可靠的
credit card,n.,信用卡
credit course,n.,学分课程
credit rating,n.,信用评级
creek,n.,小溪
creep up on sb,悄悄走近某人 
crescent,adj.,新月形的
crescent,n.,新月；新月形物
crewman,n.,（男）船员；（男）机组成员
crime rate,n.,犯罪率
cripple,n.,跛子；残疾人
cripple,v.,使残废；严重削弱
crisp,adj.,脆的；酥的；清新的
crisp,n.,炸薯片
criteria,n.,标准；准则（criterion的复数）
criticise,v.,批评；指责
crochet work,n.,钩针织品
crocodile,n.,鳄鱼
crocodile cruise,n.,鳄鱼巡游
crocodiles,n.,鳄鱼（复数）
crop,n.,农作物；收成；庄稼
crop,v.,种植；收割；修剪
cropland,n.,农田
crops,n.,农作物（复数）
croquet,n.,槌球戏
cross passage,n.,横向通道
cross-cultural,adj.,跨文化的
cross-town bus,n.,跨城公交车
crossbow,n.,弩；十字弓
crosscourt,adj.,斜线的
crossing,n.,十字路口；人行横道；横渡
crossword,n.,纵横填字游戏
crow,n.,乌鸦
crow,v.,（公鸡）啼叫；得意地叫
crowned,v.,加冕（crown的过去式和过去分词）
cruciform,adj.,十字形的
crud,n.,污垢；废物
crusade,n.,改革运动；十字军东征
crusade,v.,投身于（改革运动）
crushing,adj.,压倒性的；毁灭性的
crying,adj.,哭泣的；迫切的
crystalline,adj.,水晶般的；透明的
crystallize,v.,（使）结晶；（使）明确
ctrl,abbr.,控制键
cub,n.,（熊、狮等的）幼崽；新手
cube sugar,n.,方糖
cubic,adj.,立方的
cubic meter,n.,立方米
cucumber,n.,黄瓜
cuisine,n.,烹饪；菜肴
culminate,v.,达到顶点；告终
culmination,n.,顶点；高潮
culprit,n.,罪犯；肇事者
cultivated,adj.,有教养的；耕种的
cultivation,n.,耕作；培养；教养
cultural differences,文化差异 
cultural shock,文化冲击 
cultural sites,文化遗址 
culture awareness,文化意识 
culture context,文化背景 
cultures and customs,文化和习俗 
cumulative,adj.,累积的；渐增的
cunning,adj.,狡猾的；巧妙的
cunning,n.,狡猾；诡计
curable,adj.,可治愈的
curator,n.,（博物馆、美术馆等的）馆长
curly,adj.,卷曲的
currency,n.,货币；通货；流行
currency exchange,n.,货币兑换
current affairs,n.,时事
curry,n.,咖喱
curry,v.,用咖喱烹调；梳刷（马）
cursor,n.,光标
curtail,v.,缩减；削减
curtain call,n.,谢幕
curtains,n.,窗帘（复数）
curved,adj.,弯曲的
curvy,adj.,有曲线美的；弯曲的
cushion of air,n.,气垫
customers,n.,顾客（复数）
customers' complaints,n.,顾客投诉
customs duties,n.,关税
cut back,削减；缩减 
cut down on,减少 
cut off,切断；中断 
cut out,删掉；停止 
cut out noise,消除噪音 
cute and fashionable,可爱又时尚 
cutlery,n.,（刀、叉、匙等）餐具
cutting edge,adj.,尖端的；前沿的
cutting edge,n.,尖端；前沿；刀刃
cyan,n.,青色；蓝绿色
cybernetics,n.,控制论
cylindrical,adj.,圆柱形的
cynical,adj.,愤世嫉俗的；怀疑的
cystic,adj.,囊的；膀胱的
daily necessities,n.,日用品
daily routine,n.,日常惯例
dairy farm,n.,奶牛场
daisy,n.,雏菊
dale,n.,山谷
damp,adj.,潮湿的
damp,n.,潮湿；湿气
damp,v.,使潮湿；抑制
dance class,n.,舞蹈课
dance coupon,n.,舞会券
dance floor,n.,舞池
dance hall,n.,舞厅
dance in Tang Dynasty,n.,唐代舞蹈
dance of Xinjiang,n.,新疆舞
dance show,n.,舞蹈表演
dance studio,n.,舞蹈工作室
dancing club,n.,舞蹈俱乐部
dancing partner,n.,舞伴
dandelion,n.,蒲公英
dangerous adventure activities,n.,危险的探险活动
dangerous creature,n.,危险生物
dangerous play,n.,危险动作
